age,gender,country,role,company_size,remote_work,family_history,employer_benefits,care_options,wellness_program,anonymity_protected,leave_ease,work_interfere,treatment
40,Non-binary,UK,DevOps,500-1000,Always,1,Yes,Not sure,Don't know,Yes,Very difficult,Rarely,Yes
38,Female,Australia,Data Scientist,101-500,Always,0,Yes,No,No,No,Somewhat difficult,Sometimes,No
42,Female,UK,DevOps,1-25,Always,0,Don't know,Not sure,No,Yes,Somewhat easy,Often,No
45,Male,France,Designer,26-100,Always,0,Yes,Not sure,No,Yes,Very difficult,Sometimes,No
23,Female,India,Data Scientist,1000+,Always,1,Don't know,Yes,Yes,No,Very difficult,Never,No
44,Male,Sweden,Software Engineer,26-100,Always,1,No,Yes,Yes,Yes,Somewhat difficult,Never,Yes
46,Male,Australia,Manager,101-500,Sometimes,0,Yes,Yes,Yes,Yes,Somewhat easy,Rarely,No
55,Male,Australia,QA,1-25,Always,0,No,Yes,Don't know,Yes,Somewhat difficult,Sometimes,No
40,Male,Sweden,Product Manager,1-25,Always,1,No,Yes,Don't know,Don't know,Somewhat difficult,Never,Yes
26,Non-binary,Netherlands,Software Engineer,1-25,Always,0,Don't know,Not sure,No,Don't know,Somewhat easy,Never,No
54,Female,UK,Product Manager,101-500,Never,1,Yes,Yes,Don't know,Don't know,Somewhat easy,Often,Yes
46,Male,Canada,QA,1000+,Always,1,Yes,Yes,Yes,No,Don't know,Never,Yes
35,Male,Canada,Researcher,101-500,Always,1,No,No,No,No,Somewhat easy,Often,Yes
38,Male,Germany,DevOps,26-100,Sometimes,1,No,Not sure,Yes,Yes,Somewhat easy,Sometimes,Yes
53,Female,France,Product Manager,1-25,Always,0,Yes,Not sure,Yes,No,Somewhat easy,Never,Yes
43,Female,Netherlands,Researcher,101-500,Always,0,No,No,Yes,No,Very easy,Sometimes,No
58,Male,USA,Designer,101-500,Sometimes,1,Yes,Yes,No,Yes,Very difficult,Sometimes,Yes
53,Male,Sweden,QA,101-500,Always,0,No,Yes,Yes,No,Very easy,Often,Yes
58,Male,France,Designer,1-25,Never,0,Yes,Not sure,No,No,Very difficult,Often,No
21,Male,India,Data Scientist,101-500,Never,0,Don't know,No,Don't know,Don't know,Very difficult,Often,No
40,Male,Brazil,DevOps,1-25,Always,0,Don't know,No,Don't know,Yes,Somewhat difficult,Sometimes,No
47,Male,Germany,Manager,1000+,Sometimes,0,Yes,No,No,Don't know,Somewhat easy,Sometimes,No
54,Female,Canada,QA,101-500,Sometimes,1,No,Yes,Don't know,Don't know,Somewhat difficult,Often,Yes
31,Female,Canada,Designer,1-25,Always,0,Yes,Yes,No,No,Somewhat easy,Rarely,No
48,Male,Sweden,Software Engineer,500-1000,Sometimes,0,Don't know,Yes,Don't know,Yes,Don't know,Sometimes,No
51,Male,UK,Designer,101-500,Never,0,Don't know,Yes,Yes,Don't know,Somewhat easy,Often,No
52,Male,UK,Data Scientist,101-500,Always,1,No,Yes,No,No,Don't know,Sometimes,No
28,Female,Australia,DevOps,500-1000,Sometimes,0,Yes,No,No,Yes,Very difficult,Sometimes,No
46,Male,USA,Software Engineer,26-100,Sometimes,1,No,Yes,No,Don't know,Very easy,Often,No
26,Female,Canada,Product Manager,500-1000,Sometimes,1,Don't know,Yes,No,Don't know,Very difficult,Often,Yes
51,Male,Netherlands,DevOps,1000+,Sometimes,1,No,Yes,Yes,No,Somewhat difficult,Never,Yes
40,Male,Brazil,Designer,101-500,Never,0,No,Yes,Don't know,Yes,Don't know,Often,Yes
38,Male,Netherlands,Product Manager,26-100,Never,0,Yes,Not sure,No,Yes,Very difficult,Sometimes,Yes
29,Male,India,QA,26-100,Sometimes,0,No,Yes,No,Yes,Somewhat difficult,Sometimes,No
30,Female,UK,Product Manager,1-25,Sometimes,0,Don't know,Not sure,Don't know,No,Very difficult,Sometimes,No
22,Female,UK,Product Manager,101-500,Sometimes,0,Don't know,Yes,No,Yes,Somewhat difficult,Sometimes,Yes
46,Male,Australia,Researcher,1-25,Sometimes,0,Yes,No,No,No,Very easy,Sometimes,Yes
25,Male,UK,DevOps,101-500,Always,0,No,No,Yes,Yes,Very easy,Sometimes,Yes
36,Male,India,Researcher,1000+,Sometimes,0,Yes,Yes,No,Yes,Don't know,Rarely,Yes
37,Female,Netherlands,Designer,101-500,Always,1,Yes,No,Yes,Don't know,Very difficult,Never,Yes
58,Male,Netherlands,Researcher,1-25,Sometimes,0,Don't know,No,Yes,Yes,Somewhat easy,Sometimes,No
24,Male,Brazil,Researcher,101-500,Always,0,Don't know,No,No,Yes,Very difficult,Sometimes,No
51,Male,France,Researcher,101-500,Sometimes,0,Yes,Yes,Yes,Yes,Don't know,Rarely,Yes
42,Female,Canada,Manager,26-100,Sometimes,0,Yes,Yes,No,Yes,Somewhat difficult,Sometimes,Yes
43,Male,France,Manager,500-1000,Sometimes,0,Yes,Yes,Yes,Don't know,Don't know,Rarely,No
33,Male,USA,Researcher,101-500,Sometimes,0,Yes,No,Yes,Don't know,Don't know,Sometimes,Yes
52,Female,UK,DevOps,26-100,Sometimes,1,No,No,No,Don't know,Somewhat difficult,Often,Yes
46,Male,UK,QA,26-100,Sometimes,0,Yes,No,No,Yes,Very difficult,Sometimes,Yes
45,Male,Brazil,Software Engineer,101-500,Always,1,Yes,No,Yes,No,Somewhat easy,Often,Yes
44,Male,Brazil,QA,1000+,Always,1,Yes,Yes,Don't know,Don't know,Somewhat difficult,Often,Yes
54,Male,Canada,Researcher,1-25,Never,0,Yes,No,Yes,Yes,Somewhat easy,Often,No
21,Male,India,Researcher,1000+,Never,0,Yes,No,Don't know,Yes,Somewhat difficult,Rarely,No
57,Male,France,DevOps,1-25,Always,0,Don't know,Yes,Don't know,Don't know,Very difficult,Often,No
35,Female,France,Manager,500-1000,Always,1,Don't know,Yes,Yes,Yes,Very difficult,Often,Yes
51,Female,France,Product Manager,1-25,Always,1,Don't know,No,No,No,Very easy,Never,Yes
31,Male,Canada,Manager,26-100,Sometimes,0,Don't know,Yes,Yes,Yes,Somewhat difficult,Often,No
40,Male,India,Researcher,101-500,Always,0,No,Yes,Don't know,No,Somewhat easy,Rarely,Yes
25,Male,UK,Manager,1000+,Never,1,Yes,Not sure,Yes,Don't know,Very difficult,Rarely,No
55,Male,France,QA,500-1000,Sometimes,1,Yes,Yes,Don't know,Yes,Somewhat difficult,Rarely,Yes
22,Non-binary,Germany,Designer,1000+,Sometimes,1,Yes,Yes,Yes,Yes,Somewhat easy,Rarely,Yes
33,Male,Brazil,DevOps,500-1000,Sometimes,0,Don't know,Yes,No,Don't know,Very difficult,Never,No
50,Male,Brazil,Software Engineer,101-500,Always,1,Yes,No,Don't know,No,Somewhat easy,Never,Yes
54,Female,UK,DevOps,1-25,Sometimes,1,Yes,Not sure,Yes,Yes,Very difficult,Often,Yes
46,Male,Sweden,Data Scientist,101-500,Sometimes,0,No,Yes,Yes,Don't know,Very difficult,Never,No
37,Female,USA,Researcher,1000+,Sometimes,0,Yes,Yes,Don't know,Don't know,Very difficult,Sometimes,Yes
25,Female,Germany,Data Scientist,1000+,Sometimes,1,Yes,No,No,Yes,Very easy,Never,Yes
36,Male,Australia,Product Manager,500-1000,Sometimes,0,Don't know,Yes,Yes,Yes,Somewhat difficult,Often,No
53,Male,Canada,Software Engineer,1000+,Always,1,Don't know,Not sure,Yes,Don't know,Somewhat easy,Sometimes,Yes
26,Male,UK,Manager,26-100,Sometimes,0,Yes,Yes,Yes,No,Very difficult,Never,No
26,Male,France,Product Manager,1-25,Always,0,Yes,Yes,Yes,No,Somewhat difficult,Sometimes,Yes
35,Male,UK,Researcher,1000+,Always,1,Yes,No,Don't know,No,Somewhat easy,Sometimes,No
57,Male,Australia,Software Engineer,500-1000,Never,0,Yes,Yes,No,Yes,Somewhat difficult,Rarely,Yes
45,Male,Netherlands,Researcher,1000+,Never,1,Yes,Not sure,No,Yes,Somewhat easy,Rarely,No
58,Female,Brazil,Data Scientist,26-100,Sometimes,0,No,Yes,Yes,Yes,Very difficult,Sometimes,Yes
52,Female,USA,Data Scientist,101-500,Sometimes,0,Yes,Yes,No,Yes,Somewhat easy,Sometimes,No
28,Male,Australia,Software Engineer,500-1000,Always,0,Don't know,Yes,Yes,No,Very difficult,Rarely,No
40,Female,UK,Data Scientist,1-25,Sometimes,1,Yes,Not sure,No,Yes,Don't know,Sometimes,Yes
42,Male,Canada,Product Manager,500-1000,Sometimes,0,Yes,No,Yes,Yes,Don't know,Often,Yes
53,Male,Netherlands,Manager,1000+,Always,0,Yes,Yes,No,No,Somewhat easy,Sometimes,No
25,Male,USA,Researcher,500-1000,Never,1,No,Not sure,Don't know,Don't know,Somewhat difficult,Never,No
57,Male,Germany,QA,26-100,Always,1,Yes,No,Don't know,Don't know,Don't know,Often,Yes
49,Female,France,Product Manager,1-25,Always,0,No,Yes,No,Yes,Somewhat difficult,Often,Yes
31,Male,Canada,Software Engineer,26-100,Always,0,Yes,No,Yes,Yes,Very easy,Sometimes,Yes
45,Male,Netherlands,Software Engineer,26-100,Always,1,No,No,Yes,Yes,Don't know,Never,Yes
29,Male,Netherlands,Software Engineer,1-25,Sometimes,0,Don't know,Yes,No,Don't know,Somewhat easy,Often,Yes
27,Male,India,Software Engineer,1000+,Sometimes,1,Yes,Yes,Yes,Yes,Very difficult,Often,Yes
40,Non-binary,France,Researcher,1-25,Sometimes,0,Don't know,Not sure,No,No,Somewhat difficult,Sometimes,Yes
58,Non-binary,Brazil,Data Scientist,26-100,Never,0,Yes,Not sure,No,No,Somewhat easy,Sometimes,Yes
58,Female,Sweden,Researcher,1000+,Always,0,Yes,No,Don't know,No,Somewhat easy,Never,No
40,Male,Brazil,Data Scientist,26-100,Always,1,Don't know,No,Yes,Yes,Very easy,Never,No
21,Male,Canada,Software Engineer,1-25,Never,0,Yes,Yes,No,Yes,Very easy,Sometimes,No
21,Male,Australia,DevOps,101-500,Always,0,Don't know,Yes,Yes,Yes,Very easy,Never,No
38,Male,USA,Manager,500-1000,Never,1,No,Yes,No,No,Somewhat difficult,Often,Yes
46,Male,France,DevOps,101-500,Sometimes,0,Don't know,Not sure,Yes,No,Somewhat easy,Never,Yes
56,Male,USA,QA,1-25,Sometimes,1,No,Not sure,Yes,Don't know,Somewhat easy,Sometimes,Yes
55,Male,USA,Researcher,1000+,Always,0,Yes,Yes,Yes,Yes,Somewhat difficult,Sometimes,Yes
29,Male,France,Data Scientist,1-25,Sometimes,0,Yes,No,No,Yes,Very difficult,Sometimes,Yes
38,Male,France,Manager,500-1000,Always,1,Yes,Not sure,Yes,Don't know,Somewhat difficult,Rarely,Yes
48,Female,India,Data Scientist,500-1000,Always,0,No,Not sure,Don't know,Yes,Very difficult,Sometimes,Yes
40,Female,Sweden,Designer,500-1000,Sometimes,1,Yes,Yes,Yes,Yes,Don't know,Never,Yes
57,Non-binary,Germany,Researcher,500-1000,Always,0,No,No,No,Yes,Somewhat easy,Rarely,No
33,Female,France,Researcher,101-500,Sometimes,0,Yes,No,Don't know,Yes,Very easy,Often,No
35,Female,Sweden,Product Manager,1-25,Always,1,Don't know,Yes,Don't know,Yes,Somewhat difficult,Rarely,Yes
58,Female,Sweden,Software Engineer,1-25,Always,0,Yes,No,No,Yes,Somewhat easy,Rarely,Yes
45,Female,Australia,Product Manager,26-100,Always,1,Yes,Yes,Yes,Yes,Somewhat difficult,Often,Yes
38,Non-binary,Australia,Data Scientist,1-25,Sometimes,0,Yes,Yes,Don't know,Yes,Somewhat difficult,Rarely,No
37,Male,USA,Software Engineer,500-1000,Always,0,No,No,Yes,No,Somewhat easy,Sometimes,No
38,Male,Australia,Designer,26-100,Sometimes,0,No,No,Don't know,Yes,Somewhat difficult,Often,Yes
22,Female,Brazil,DevOps,26-100,Never,0,No,Yes,Yes,Yes,Somewhat easy,Never,Yes
24,Male,India,Data Scientist,500-1000,Always,1,Yes,No,No,Don't know,Very difficult,Sometimes,Yes
39,Male,Sweden,Researcher,500-1000,Sometimes,0,Yes,No,Yes,Yes,Don't know,Rarely,No
33,Male,Sweden,QA,1000+,Sometimes,1,Yes,Yes,Yes,Don't know,Somewhat difficult,Often,Yes
53,Male,Germany,Researcher,101-500,Always,0,Yes,No,No,Don't know,Somewhat easy,Rarely,Yes
34,Male,UK,DevOps,500-1000,Always,0,Don't know,Yes,Don't know,Don't know,Very easy,Rarely,No
50,Male,Australia,Software Engineer,101-500,Sometimes,0,Don't know,Yes,Yes,Don't know,Somewhat easy,Sometimes,Yes
43,Male,USA,DevOps,1-25,Always,1,Yes,Yes,No,No,Somewhat easy,Rarely,Yes
31,Male,Australia,Product Manager,1-25,Sometimes,0,Yes,Not sure,Yes,Yes,Somewhat difficult,Often,No
43,Female,Sweden,DevOps,26-100,Sometimes,1,Don't know,Not sure,Don't know,No,Don't know,Sometimes,No
41,Male,Germany,QA,500-1000,Always,1,Yes,No,No,Don't know,Somewhat difficult,Often,Yes
47,Male,Netherlands,Manager,1000+,Always,1,Yes,Yes,Don't know,Yes,Somewhat difficult,Never,Yes
41,Male,Netherlands,Manager,1000+,Always,0,No,No,Yes,Yes,Somewhat easy,Never,No
23,Female,UK,Software Engineer,1-25,Sometimes,1,Don't know,No,No,Yes,Very easy,Never,No
54,Male,USA,Designer,1000+,Never,0,Yes,Not sure,No,Yes,Don't know,Never,No
51,Female,Netherlands,Manager,1-25,Always,1,Don't know,Yes,No,Yes,Somewhat difficult,Sometimes,Yes
31,Male,Brazil,Software Engineer,1-25,Never,0,Don't know,No,Yes,Yes,Somewhat difficult,Sometimes,No
39,Male,Australia,Designer,500-1000,Sometimes,1,Yes,Yes,No,No,Very difficult,Sometimes,Yes
46,Male,UK,Manager,1000+,Always,0,No,Yes,Yes,No,Somewhat difficult,Rarely,No
57,Male,Brazil,QA,1000+,Sometimes,0,Yes,Not sure,Yes,Yes,Very easy,Rarely,Yes
44,Female,UK,Designer,101-500,Sometimes,1,Yes,Not sure,No,Yes,Don't know,Never,Yes
43,Male,Brazil,Designer,26-100,Always,0,No,No,Yes,No,Very easy,Sometimes,Yes
31,Female,Canada,Researcher,101-500,Never,0,Yes,Yes,Yes,Yes,Don't know,Rarely,Yes
24,Non-binary,Sweden,Software Engineer,1-25,Sometimes,0,No,No,Yes,Don't know,Somewhat difficult,Sometimes,Yes
40,Male,India,Designer,1-25,Sometimes,1,Yes,Yes,No,Yes,Somewhat difficult,Rarely,No
35,Non-binary,Brazil,Data Scientist,101-500,Sometimes,0,Don't know,No,No,Yes,Somewhat easy,Never,No
33,Male,Canada,Product Manager,500-1000,Sometimes,1,Yes,No,Yes,Yes,Very easy,Never,Yes
39,Male,UK,Researcher,500-1000,Sometimes,1,Yes,Yes,No,No,Very easy,Often,No
31,Female,UK,Manager,1-25,Sometimes,1,Yes,Yes,No,Don't know,Very difficult,Never,Yes
39,Female,Sweden,Software Engineer,1000+,Sometimes,0,No,No,No,Yes,Somewhat difficult,Often,No
39,Male,India,Product Manager,26-100,Never,1,No,Yes,No,Don't know,Somewhat easy,Often,Yes
25,Male,France,Data Scientist,1-25,Never,0,Yes,Yes,No,No,Very difficult,Often,No
36,Female,USA,Data Scientist,500-1000,Sometimes,0,Yes,Not sure,Don't know,Don't know,Somewhat difficult,Often,No
29,Female,India,Product Manager,500-1000,Always,0,No,Yes,No,Don't know,Somewhat easy,Rarely,Yes
26,Male,France,Data Scientist,1-25,Never,0,No,Yes,Don't know,Yes,Very easy,Never,No
49,Female,Brazil,DevOps,101-500,Always,0,Yes,Yes,Yes,No,Very difficult,Often,Yes
39,Female,UK,Designer,1000+,Sometimes,1,Yes,Yes,Don't know,Yes,Don't know,Sometimes,No
30,Male,USA,DevOps,500-1000,Always,1,Yes,Yes,Yes,Don't know,Don't know,Sometimes,Yes
54,Male,Sweden,Designer,26-100,Sometimes,1,Yes,Yes,No,Don't know,Somewhat easy,Sometimes,No
25,Male,Netherlands,Product Manager,26-100,Sometimes,1,No,No,Yes,Yes,Somewhat difficult,Sometimes,No
36,Male,France,Software Engineer,1-25,Always,1,No,No,Yes,Don't know,Somewhat easy,Never,No
22,Male,Brazil,QA,1000+,Sometimes,0,No,Not sure,No,No,Somewhat difficult,Rarely,Yes
25,Male,UK,QA,26-100,Always,1,Yes,Yes,Don't know,Don't know,Very easy,Sometimes,No
35,Female,Germany,Designer,101-500,Sometimes,1,Don't know,Not sure,No,Yes,Don't know,Never,No
48,Female,Canada,Software Engineer,101-500,Always,1,Don't know,Yes,Yes,Don't know,Very difficult,Sometimes,Yes
35,Male,Sweden,DevOps,1000+,Always,0,No,Not sure,Don't know,Yes,Somewhat easy,Never,No
22,Female,USA,Designer,101-500,Always,1,Don't know,No,Yes,No,Somewhat difficult,Sometimes,No
34,Female,Brazil,Researcher,1000+,Always,0,Yes,Not sure,Yes,No,Somewhat easy,Often,Yes
52,Female,France,Manager,26-100,Never,0,Yes,Yes,No,Don't know,Somewhat easy,Often,Yes
26,Male,Sweden,DevOps,26-100,Never,0,Yes,Yes,Don't know,Don't know,Somewhat easy,Sometimes,Yes
56,Female,Brazil,Manager,26-100,Sometimes,0,No,Yes,No,Yes,Somewhat easy,Often,No
33,Non-binary,India,QA,101-500,Sometimes,0,Yes,Not sure,No,No,Very easy,Sometimes,No
41,Male,India,Designer,26-100,Never,0,No,No,Don't know,Yes,Somewhat difficult,Often,No
30,Male,USA,Manager,1-25,Never,0,No,Yes,Don't know,Yes,Very difficult,Often,Yes
24,Male,UK,QA,1-25,Sometimes,0,Don't know,No,No,Don't know,Don't know,Sometimes,Yes
26,Female,Germany,Product Manager,1000+,Never,0,Yes,Yes,Don't know,Don't know,Somewhat difficult,Sometimes,No
56,Female,UK,Designer,26-100,Sometimes,0,Yes,No,No,Yes,Don't know,Often,Yes
47,Female,UK,QA,101-500,Always,0,No,Yes,Yes,Don't know,Somewhat difficult,Never,Yes
26,Male,Brazil,Data Scientist,101-500,Always,1,Yes,No,No,No,Very difficult,Sometimes,Yes
48,Male,Sweden,Manager,26-100,Sometimes,1,No,Yes,No,Yes,Very difficult,Often,Yes
57,Female,France,Product Manager,101-500,Always,1,Yes,Not sure,Don't know,Don't know,Don't know,Often,Yes
58,Male,Canada,Manager,1000+,Always,1,Don't know,Yes,Don't know,Yes,Somewhat easy,Sometimes,No
36,Female,France,QA,500-1000,Always,1,Yes,Not sure,Yes,Yes,Don't know,Sometimes,Yes
54,Male,Australia,Data Scientist,500-1000,Sometimes,0,Yes,Yes,No,Don't know,Very easy,Rarely,No
51,Male,Australia,Product Manager,1-25,Always,0,No,No,Yes,No,Don't know,Sometimes,Yes
32,Female,Germany,Software Engineer,500-1000,Always,0,Yes,Yes,Yes,No,Very easy,Rarely,No
