age,gender,country,role,company_size,remote_work,family_history,employer_benefits,care_options,wellness_program,anonymity_protected,leave_ease,work_interfere,treatment
57,Non-binary,Sweden,Researcher,26-100,Sometimes,1,Yes,Not sure,Don't know,Don't know,Somewhat easy,Sometimes,Yes
30,Male,UK,Data Scientist,1-25,Sometimes,0,Yes,Yes,No,Don't know,Very easy,Sometimes,No
46,Non-binary,UK,Data Scientist,500-1000,Sometimes,1,Yes,Not sure,Yes,Don't know,Somewhat easy,Never,Yes
46,Non-binary,Sweden,Product Manager,1000+,Never,1,Don't know,No,Don't know,No,Somewhat difficult,Often,No
28,Male,UK,Designer,1000+,Sometimes,1,Yes,Yes,No,Don't know,Very difficult,Rarely,Yes
51,Male,France,Software Engineer,500-1000,Never,0,Yes,No,Yes,No,Somewhat difficult,Sometimes,No
34,Female,Australia,Manager,26-100,Sometimes,1,Yes,No,Yes,Don't know,Don't know,Never,Yes
55,Female,Canada,QA,26-100,Always,1,Yes,Yes,Yes,Yes,Somewhat difficult,Rarely,Yes
54,Male,Canada,DevOps,26-100,Always,0,Don't know,No,Yes,Yes,Very difficult,Often,No
30,Female,Netherlands,Data Scientist,1000+,Sometimes,0,No,Yes,No,Don't know,Somewhat difficult,Sometimes,No
40,Male,Australia,DevOps,1-25,Sometimes,1,Yes,Yes,Don't know,Yes,Somewhat difficult,Sometimes,Yes
55,Male,UK,Software Engineer,101-500,Always,0,Yes,No,No,Yes,Somewhat difficult,Sometimes,Yes
58,Male,Australia,Software Engineer,101-500,Never,0,Don't know,No,Don't know,Yes,Somewhat difficult,Never,No
33,Male,Canada,Manager,101-500,Always,1,No,No,Yes,Don't know,Somewhat difficult,Sometimes,Yes
50,Female,India,Manager,26-100,Sometimes,1,No,Not sure,Don't know,Yes,Don't know,Rarely,No
33,Male,UK,Data Scientist,1-25,Never,0,Don't know,No,Don't know,Yes,Very difficult,Sometimes,No
56,Male,Brazil,Data Scientist,26-100,Sometimes,1,Yes,No,Don't know,Yes,Don't know,Often,No
53,Male,France,Data Scientist,500-1000,Always,1,Yes,No,Don't know,Yes,Don't know,Often,Yes
42,Non-binary,USA,Product Manager,101-500,Always,0,Yes,No,No,Yes,Somewhat difficult,Often,Yes
33,Female,USA,Designer,1000+,Always,1,No,No,No,Don't know,Somewhat difficult,Often,Yes
26,Non-binary,France,Manager,1000+,Never,0,No,Not sure,Yes,Don't know,Don't know,Often,Yes
34,Male,USA,QA,1000+,Always,1,Yes,No,Yes,Yes,Very difficult,Sometimes,Yes
54,Male,India,Researcher,1-25,Always,0,Yes,Yes,Yes,Yes,Very difficult,Sometimes,Yes
29,Male,USA,QA,101-500,Sometimes,0,Don't know,Not sure,Yes,No,Somewhat difficult,Sometimes,Yes
30,Male,France,QA,1000+,Always,0,No,No,Don't know,Don't know,Don't know,Sometimes,Yes
57,Male,Sweden,Researcher,26-100,Never,0,Yes,No,No,Don't know,Very difficult,Often,Yes
37,Female,Brazil,Software Engineer,1-25,Sometimes,0,Yes,Not sure,Yes,Yes,Somewhat easy,Rarely,No
40,Female,Netherlands,Data Scientist,1000+,Always,0,Yes,Not sure,Yes,Yes,Very difficult,Often,Yes
57,Female,Australia,QA,1000+,Sometimes,1,Yes,Yes,No,Yes,Very difficult,Sometimes,Yes
25,Male,USA,DevOps,26-100,Sometimes,1,Yes,Not sure,Yes,Don't know,Very difficult,Sometimes,Yes
45,Male,USA,Manager,26-100,Always,1,No,Yes,No,Yes,Somewhat difficult,Never,No
41,Male,Sweden,QA,26-100,Sometimes,0,No,Yes,Don't know,Yes,Very difficult,Rarely,No
29,Non-binary,Germany,Manager,500-1000,Always,1,Yes,Yes,No,No,Very difficult,Sometimes,Yes
24,Male,Brazil,DevOps,26-100,Always,1,Yes,Yes,Don't know,Yes,Very easy,Rarely,Yes
49,Non-binary,USA,Software Engineer,26-100,Never,0,Yes,No,Yes,Yes,Somewhat easy,Often,Yes
51,Female,France,Data Scientist,26-100,Never,0,No,Not sure,No,Don't know,Very easy,Often,Yes
47,Male,Canada,Data Scientist,500-1000,Sometimes,0,Yes,Yes,Don't know,No,Very difficult,Rarely,Yes
47,Male,Australia,DevOps,1-25,Sometimes,0,Yes,Not sure,Yes,Yes,Very easy,Sometimes,Yes
52,Male,Germany,DevOps,1000+,Always,0,Yes,Yes,No,Don't know,Somewhat difficult,Rarely,No
23,Male,Sweden,QA,26-100,Never,0,Yes,No,Don't know,Yes,Don't know,Sometimes,Yes
32,Male,USA,Manager,101-500,Sometimes,0,Yes,No,No,Yes,Don't know,Often,Yes
42,Female,Sweden,Designer,1-25,Never,0,Don't know,Yes,No,Yes,Somewhat difficult,Often,Yes
25,Male,Sweden,Designer,26-100,Never,1,No,Not sure,Yes,No,Somewhat difficult,Sometimes,Yes
21,Female,Canada,Data Scientist,500-1000,Sometimes,1,Yes,Yes,Don't know,Don't know,Very easy,Rarely,Yes
38,Male,Sweden,DevOps,101-500,Always,0,No,No,No,Don't know,Very difficult,Often,Yes
33,Male,UK,Software Engineer,1000+,Always,1,Don't know,Yes,Don't know,No,Don't know,Sometimes,Yes
58,Male,Netherlands,Researcher,101-500,Always,0,Yes,No,Don't know,Don't know,Somewhat difficult,Often,Yes
37,Female,Brazil,Manager,26-100,Always,0,Yes,No,No,Yes,Somewhat difficult,Never,Yes
38,Male,Netherlands,Software Engineer,500-1000,Sometimes,1,Yes,Not sure,No,No,Don't know,Rarely,Yes
24,Female,UK,QA,26-100,Never,1,No,No,Yes,Yes,Very easy,Sometimes,Yes
48,Male,Germany,Software Engineer,500-1000,Sometimes,0,Yes,Not sure,No,Yes,Don't know,Sometimes,Yes
25,Male,Canada,Data Scientist,26-100,Sometimes,1,No,Not sure,Yes,No,Somewhat easy,Sometimes,Yes
46,Female,Sweden,Data Scientist,1000+,Never,1,No,Yes,Yes,Yes,Don't know,Never,No
46,Male,USA,Product Manager,101-500,Always,1,Yes,No,No,Yes,Very difficult,Rarely,Yes
56,Male,Brazil,QA,1000+,Always,0,No,No,Yes,Yes,Very easy,Never,No
57,Non-binary,UK,Software Engineer,500-1000,Never,1,Yes,No,Yes,Yes,Somewhat easy,Sometimes,Yes
31,Female,USA,Product Manager,26-100,Always,0,Yes,Not sure,Yes,Don't know,Somewhat difficult,Often,Yes
50,Female,Sweden,Designer,101-500,Always,0,Yes,No,No,Yes,Somewhat easy,Never,Yes
37,Female,Netherlands,Data Scientist,101-500,Never,0,Yes,Yes,No,Yes,Very easy,Sometimes,Yes
33,Male,Brazil,Designer,1000+,Always,0,No,No,No,No,Very difficult,Rarely,Yes
45,Female,Australia,Manager,1000+,Never,0,Yes,Yes,Don't know,Yes,Very difficult,Sometimes,No
46,Male,France,Software Engineer,101-500,Never,0,Yes,Not sure,Don't know,No,Somewhat easy,Sometimes,Yes
37,Male,Germany,QA,1000+,Sometimes,0,Yes,Yes,Yes,Yes,Somewhat difficult,Never,Yes
24,Female,Netherlands,DevOps,1-25,Sometimes,0,No,Not sure,No,No,Very difficult,Often,Yes
43,Female,USA,Designer,1000+,Sometimes,0,Don't know,No,No,No,Very difficult,Never,No
30,Male,Australia,Product Manager,101-500,Always,1,No,Not sure,No,Yes,Somewhat easy,Sometimes,Yes
57,Male,Sweden,Data Scientist,500-1000,Always,1,Yes,Yes,Don't know,Yes,Don't know,Sometimes,Yes
40,Male,Brazil,Designer,1000+,Sometimes,0,Don't know,No,No,Yes,Somewhat difficult,Never,Yes
26,Male,India,Software Engineer,1000+,Sometimes,0,Yes,Yes,Don't know,Yes,Somewhat difficult,Sometimes,No
54,Female,Brazil,Researcher,1000+,Sometimes,0,Yes,Yes,No,Don't know,Very difficult,Rarely,Yes
29,Female,USA,QA,26-100,Sometimes,0,No,Not sure,No,No,Somewhat easy,Often,No
37,Male,UK,Software Engineer,1000+,Sometimes,0,Yes,Yes,Don't know,Yes,Somewhat easy,Sometimes,No
43,Male,Netherlands,Manager,1-25,Always,0,No,Yes,No,No,Somewhat easy,Often,No
22,Female,Australia,Software Engineer,101-500,Sometimes,0,Don't know,Yes,Yes,No,Somewhat difficult,Rarely,Yes
49,Non-binary,France,Data Scientist,500-1000,Never,0,Yes,No,Yes,Yes,Don't know,Often,No
27,Male,Brazil,Software Engineer,1000+,Never,0,Yes,Yes,Don't know,No,Very difficult,Sometimes,Yes
40,Male,Netherlands,QA,101-500,Always,1,Yes,Yes,No,Yes,Somewhat difficult,Sometimes,Yes
54,Male,Netherlands,QA,26-100,Never,0,No,Not sure,Yes,Don't know,Somewhat easy,Sometimes,No
40,Male,Brazil,DevOps,26-100,Sometimes,0,Don't know,Yes,Yes,Yes,Somewhat easy,Often,No
50,Male,Canada,Designer,26-100,Always,1,Don't know,Yes,No,Yes,Somewhat difficult,Often,No
51,Male,Canada,Manager,1000+,Never,1,Yes,No,No,Don't know,Very difficult,Sometimes,No
49,Male,USA,Data Scientist,500-1000,Always,1,Yes,No,Yes,Yes,Somewhat difficult,Often,Yes
44,Male,Germany,Product Manager,500-1000,Sometimes,0,Don't know,Yes,Don't know,Don't know,Somewhat difficult,Never,Yes
34,Male,Germany,Researcher,1000+,Sometimes,1,Yes,Yes,No,No,Very difficult,Sometimes,No
49,Non-binary,USA,DevOps,26-100,Never,0,No,Not sure,Yes,Yes,Don't know,Sometimes,No
35,Non-binary,India,Software Engineer,500-1000,Always,1,Yes,Yes,Don't know,No,Don't know,Sometimes,Yes
39,Male,Australia,QA,26-100,Sometimes,0,Yes,Yes,Don't know,Yes,Very difficult,Sometimes,Yes
35,Male,Canada,Data Scientist,1000+,Always,1,Yes,No,No,Yes,Very difficult,Sometimes,Yes
31,Male,Canada,DevOps,101-500,Sometimes,1,Yes,Yes,No,No,Somewhat difficult,Never,No
24,Male,UK,Software Engineer,1000+,Always,0,Yes,Not sure,No,Don't know,Somewhat easy,Rarely,No
24,Male,France,Software Engineer,1-25,Always,0,No,Not sure,No,Yes,Somewhat difficult,Never,No
22,Male,France,Product Manager,500-1000,Always,0,No,Yes,Yes,Yes,Somewhat difficult,Rarely,No
58,Female,Sweden,Manager,500-1000,Sometimes,0,Yes,No,Don't know,Yes,Somewhat easy,Rarely,No
29,Male,India,Data Scientist,500-1000,Sometimes,1,Yes,Not sure,Don't know,Yes,Very easy,Rarely,Yes
41,Male,USA,Product Manager,101-500,Always,0,Don't know,Not sure,Don't know,No,Somewhat difficult,Never,No
27,Female,India,Data Scientist,26-100,Sometimes,0,Don't know,Yes,Yes,Yes,Very easy,Never,No
29,Male,Brazil,DevOps,1000+,Sometimes,1,Yes,No,Don't know,Yes,Don't know,Sometimes,Yes
36,Male,India,DevOps,26-100,Always,1,Yes,No,No,Don't know,Somewhat difficult,Often,Yes
57,Male,Australia,Software Engineer,1-25,Never,1,No,No,No,No,Somewhat difficult,Never,No
51,Male,Canada,Designer,26-100,Sometimes,0,Yes,Yes,Yes,Don't know,Very easy,Never,No
35,Male,UK,Researcher,101-500,Sometimes,0,Yes,No,No,Yes,Somewhat easy,Sometimes,Yes
52,Male,Canada,Data Scientist,1-25,Always,1,Yes,Yes,Yes,No,Somewhat easy,Rarely,Yes
58,Female,France,Software Engineer,26-100,Sometimes,0,Yes,No,Yes,Yes,Somewhat difficult,Never,Yes
57,Male,France,Software Engineer,1000+,Sometimes,0,Yes,No,Yes,Yes,Somewhat difficult,Rarely,No
30,Male,USA,Researcher,500-1000,Sometimes,0,Don't know,Not sure,No,No,Very easy,Never,No
56,Female,India,Researcher,1-25,Never,1,Yes,Not sure,Yes,Yes,Somewhat easy,Often,No
38,Non-binary,USA,QA,101-500,Sometimes,1,Don't know,Yes,Don't know,Yes,Somewhat easy,Sometimes,Yes
30,Male,Germany,Product Manager,500-1000,Always,1,Yes,Yes,No,Yes,Very easy,Sometimes,Yes
25,Male,Brazil,Manager,1-25,Always,1,Don't know,Not sure,Don't know,Don't know,Somewhat difficult,Often,Yes
46,Female,Netherlands,DevOps,101-500,Never,0,Don't know,Not sure,Don't know,Yes,Somewhat difficult,Never,No
34,Female,Australia,Data Scientist,500-1000,Never,1,Yes,Yes,Yes,Yes,Don't know,Never,Yes
36,Male,Australia,QA,1-25,Sometimes,0,Don't know,No,Yes,Don't know,Somewhat difficult,Never,No
31,Male,Canada,Researcher,1-25,Sometimes,0,Yes,Not sure,Yes,No,Very difficult,Sometimes,Yes
38,Male,Sweden,Designer,1-25,Always,0,No,Not sure,Don't know,Don't know,Don't know,Sometimes,Yes
36,Male,Germany,Researcher,26-100,Sometimes,1,Yes,No,No,Yes,Somewhat easy,Rarely,Yes
37,Male,India,QA,500-1000,Sometimes,0,Yes,No,Don't know,Yes,Somewhat easy,Never,Yes
35,Male,Brazil,Researcher,26-100,Sometimes,1,Yes,Yes,No,Yes,Somewhat difficult,Often,Yes
26,Male,Germany,DevOps,1-25,Never,1,No,Not sure,Yes,No,Very easy,Often,No
45,Male,USA,QA,26-100,Sometimes,0,No,Yes,No,Yes,Don't know,Never,No
36,Male,Brazil,Researcher,26-100,Always,1,Yes,Yes,Yes,Yes,Very difficult,Sometimes,Yes
42,Female,USA,QA,500-1000,Sometimes,0,Yes,Not sure,Don't know,Yes,Don't know,Never,No
30,Non-binary,India,Researcher,500-1000,Always,0,No,No,No,No,Very difficult,Often,Yes
54,Male,Brazil,Manager,1-25,Sometimes,0,Yes,No,Yes,Yes,Very difficult,Sometimes,No
44,Male,India,QA,26-100,Never,0,Don't know,No,Don't know,Yes,Very difficult,Sometimes,Yes
51,Female,Brazil,Product Manager,500-1000,Never,1,Don't know,Yes,No,Yes,Very difficult,Never,No
37,Male,India,Manager,500-1000,Always,0,Yes,Yes,No,No,Very difficult,Rarely,No
51,Male,Netherlands,Data Scientist,1-25,Sometimes,0,Don't know,No,Don't know,Don't know,Don't know,Sometimes,Yes
50,Male,Germany,Product Manager,101-500,Always,1,Yes,Yes,No,Yes,Somewhat easy,Rarely,No
52,Female,UK,Software Engineer,1-25,Always,0,Yes,No,Don't know,Yes,Very difficult,Sometimes,Yes
46,Non-binary,India,Software Engineer,26-100,Always,0,Don't know,No,Don't know,Yes,Somewhat easy,Often,Yes
36,Male,Germany,Designer,26-100,Sometimes,0,Yes,No,Don't know,No,Don't know,Sometimes,Yes
34,Male,India,QA,101-500,Never,0,No,Not sure,No,Don't know,Somewhat easy,Often,No
25,Female,France,Software Engineer,500-1000,Always,0,No,Yes,Don't know,Don't know,Somewhat difficult,Never,No
25,Male,UK,QA,101-500,Sometimes,0,Don't know,Not sure,Don't know,Yes,Very difficult,Often,Yes
40,Female,Canada,Manager,1000+,Sometimes,0,Yes,Not sure,No,Don't know,Somewhat difficult,Sometimes,Yes
24,Male,Australia,Product Manager,1-25,Sometimes,0,Yes,Yes,Yes,Yes,Somewhat difficult,Often,Yes
31,Female,Sweden,Software Engineer,1000+,Sometimes,0,Yes,Yes,No,Yes,Somewhat difficult,Often,Yes
34,Female,UK,Researcher,101-500,Sometimes,0,Yes,Yes,Don't know,No,Don't know,Never,Yes
51,Male,Brazil,Software Engineer,1000+,Always,0,Yes,Yes,No,Yes,Somewhat difficult,Sometimes,No
48,Female,USA,Product Manager,26-100,Always,0,Yes,Not sure,Don't know,Yes,Don't know,Rarely,No
30,Female,France,DevOps,500-1000,Always,0,Yes,Yes,No,No,Somewhat easy,Often,No
38,Female,Netherlands,Product Manager,500-1000,Sometimes,0,Yes,Yes,Yes,Don't know,Somewhat difficult,Sometimes,Yes
52,Male,India,Designer,1-25,Sometimes,0,Yes,Yes,Yes,Yes,Don't know,Often,Yes
34,Male,Canada,Manager,101-500,Always,0,Don't know,Yes,No,Yes,Somewhat difficult,Never,No
37,Female,Australia,Designer,500-1000,Never,0,Yes,No,Yes,Yes,Somewhat difficult,Rarely,Yes
56,Male,USA,Software Engineer,1000+,Always,0,No,Yes,Don't know,Yes,Very difficult,Sometimes,Yes
29,Male,Canada,Product Manager,101-500,Sometimes,1,Yes,Yes,No,Don't know,Very difficult,Never,No
35,Male,UK,Designer,101-500,Never,0,Yes,Not sure,No,Don't know,Very difficult,Never,No
58,Male,Germany,Software Engineer,101-500,Always,0,No,Yes,Yes,Yes,Very difficult,Sometimes,No
53,Male,Canada,Data Scientist,500-1000,Sometimes,1,Yes,No,No,Don't know,Somewhat easy,Never,Yes
44,Female,Netherlands,Researcher,1-25,Always,1,No,Yes,Yes,Don't know,Somewhat difficult,Often,Yes
40,Female,Brazil,Manager,1-25,Always,1,No,No,Yes,No,Somewhat easy,Rarely,No
49,Male,France,QA,1000+,Always,0,Yes,No,Yes,Don't know,Somewhat difficult,Sometimes,Yes
35,Male,France,Researcher,1000+,Sometimes,1,Don't know,No,Yes,Yes,Somewhat easy,Sometimes,No
47,Non-binary,Canada,Software Engineer,1-25,Always,0,Yes,Yes,No,Don't know,Somewhat difficult,Sometimes,Yes
50,Male,UK,Researcher,500-1000,Sometimes,0,Don't know,Not sure,No,No,Somewhat easy,Rarely,No
21,Male,Brazil,Product Manager,101-500,Sometimes,0,Yes,Yes,Yes,No,Somewhat difficult,Sometimes,Yes
47,Male,Sweden,Manager,1000+,Sometimes,0,Yes,Yes,No,Yes,Very difficult,Sometimes,No
44,Male,Germany,Researcher,1000+,Sometimes,0,Yes,Yes,Don't know,Yes,Very easy,Sometimes,Yes
45,Male,Netherlands,Manager,26-100,Always,0,No,No,No,Don't know,Somewhat easy,Rarely,No
38,Male,Netherlands,QA,1-25,Sometimes,0,Yes,Yes,Yes,No,Somewhat easy,Rarely,No
22,Female,India,QA,26-100,Sometimes,0,Yes,No,Don't know,No,Somewhat difficult,Sometimes,Yes
44,Female,USA,QA,500-1000,Sometimes,0,No,No,Yes,Yes,Very easy,Often,No
44,Female,Australia,DevOps,1-25,Sometimes,0,No,Not sure,No,Yes,Don't know,Rarely,No
34,Female,France,Researcher,1000+,Always,0,Don't know,No,Don't know,Don't know,Somewhat easy,Sometimes,No
45,Male,Brazil,Designer,1-25,Always,0,Yes,Not sure,No,Yes,Somewhat difficult,Sometimes,Yes
49,Male,Sweden,Software Engineer,101-500,Always,0,Don't know,No,No,No,Somewhat easy,Never,Yes
53,Female,Netherlands,DevOps,500-1000,Sometimes,0,Don't know,Not sure,Yes,Don't know,Somewhat easy,Rarely,No
42,Male,Netherlands,Manager,1-25,Never,1,Yes,Yes,No,Yes,Somewhat difficult,Often,Yes
39,Male,Germany,Software Engineer,101-500,Never,1,Yes,Yes,Yes,Yes,Don't know,Sometimes,Yes
26,Male,Germany,Software Engineer,101-500,Never,0,No,Not sure,No,Yes,Somewhat easy,Sometimes,No
25,Female,India,Software Engineer,1-25,Always,0,Yes,No,Yes,Yes,Very easy,Sometimes,No
21,Male,USA,Manager,101-500,Sometimes,0,No,Yes,No,Don't know,Somewhat difficult,Never,No
22,Male,UK,Researcher,101-500,Always,0,Don't know,Yes,No,Yes,Very difficult,Never,Yes
